,Sleep
21 Dec,9:28 hrs
28 Dec,9:10 hrs
4 Jan,9:40 hrs
11 Jan,9:57 hrs
18 Jan,8:57 hrs
25 Jan,10:08 hrs
1 Feb,9:12 hrs
8 Feb,8:49 hrs
15 Feb,9:10 hrs
22 Feb,9:28 hrs
1 Mar,8:47 hrs
8 Mar,9:44 hrs
15 Mar,9:00 hrs
22 Mar,9:04 hrs
29 Mar,9:13 hrs
5 Apr,8:39 hrs
12 Apr,8:41 hrs
19 Apr,8:26 hrs
26 Apr,8:51 hrs
3 May,8:33 hrs
10 May,8:29 hrs
17 May,7:60 hrs
24 May,7:53 hrs
31 May,8:26 hrs
7 Jun,8:16 hrs
14 Jun,7:31 hrs
21 Jun,7:45 hrs
28 Jun,7:53 hrs
5 Jul,7:38 hrs
12 Jul,6:47 hrs
19 Jul,6:15 hrs
26 Jul,7:09 hrs
2 Aug,7:42 hrs
9 Aug,8:18 hrs
16 Aug,8:41 hrs
23 Aug,9:04 hrs
30 Aug,7:60 hrs
6 Sep,7:18 hrs
13 Sep,7:42 hrs
20 Sep,8:28 hrs
27 Sep,8:16 hrs
4 Oct,8:24 hrs
11 Oct,8:11 hrs
18 Oct,7:34 hrs
25 Oct,8:17 hrs
1 Nov,8:39 hrs
8 Nov,8:20 hrs
15 Nov,8:06 hrs
22 Nov,8:26 hrs
29 Nov,8:16 hrs
6 Dec,8:24 hrs
13 Dec,9:04 hrs